Type,Post Date,Description,Amount,Category,
Sale,8/22/2017,SIMPLYBOOKSST2567 0000 - HOUSTON,-10.82,Recreation
Sale,8/18/2017,99 RANCH #1601 001658500 - EDISON,-225.07,Supplies
Sale,11/20/2017,EXXONMOBIL    47983937,-40.9,Auto Related
Sale,8/21/2017,WAWA 8341     00083410,-38.5,Auto Related
Sale,4/24/2017,UNIQLO ECOMMERCE,-83.6,Clothing
Sale,2/2/2017,PAYPAL *ANNIZHANG,-100,Commission
Sale,1/11/2017,RABARCLAYS130111165156,-4.18,Dining Out
Sale,1/12/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,1/13/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,1/13/2017,RABARCLAYS130111165156,-7.09,Dining Out
Sale,1/16/2017,RABARCLAYS130111165156,-5.12,Dining Out
Sale,1/17/2017,STARBUCKS STORE 0739   BRIDGEWATER,-3.47,Dining Out
Sale,1/18/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,1/19/2017,RABARCLAYS130111165156,-5.89,Dining Out
Sale,1/19/2017,RABARCLAYS130111165156,-4.24,Dining Out
Sale,1/20/2017,RABARCLAYS130111165156,-6.49,Dining Out
Sale,1/24/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,1/25/2017,SUBWAY        03402690,-5.5,Dining Out
Sale,1/25/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,1/25/2017,RABARCLAYS130111165156,-5.12,Dining Out
Sale,1/26/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,1/26/2017,RABARCLAYS130111165156,-5.43,Dining Out
Sale,1/27/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,1/27/2017,RABARCLAYS130111165156,-4.69,Dining Out
Sale,1/27/2017,RABARCLAYS130111165156,-4.24,Dining Out
Sale,1/29/2017,RABARCLAYS130111165156,-5.8,Dining Out
Sale,1/29/2017,RABARCLAYS130111165156,-1.25,Dining Out
Sale,1/5/2017,CAFE 53,-12.6,Dining Out
Sale,1/5/2017,RABARCLAYS130111165156,-10.58,Dining Out
Sale,1/6/2017,CAFE 53,-12.52,Dining Out
Sale,1/6/2017,RABARCLAYS130111165156,-8.36,Dining Out
Sale,1/6/2017,RABARCLAYS130111165156,-7.25,Dining Out
Sale,1/8/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,1/8/2017,CAFE 53,-13.84,Dining Out
Sale,10/1/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,10/13/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,10/18/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,10/18/2017,SUBWAY        03402690,-3.81,Dining Out
Sale,10/23/2017,PANERA BREAD #601492,-19.3,Dining Out
Sale,10/29/2017,PENANG STREET SOUTHEAS EDISON        NJ,-28.75,Dining Out
Sale,10/3/2017,CLINTON WINE &amp; SPIRITS,-20.29,Dining Out
Sale,10/5/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,10/9/2017,PENANG STREET SOUTHEAS,-27.68,Dining Out
Sale,11/12/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,11/13/2017,PANERA BREAD #601492,-24.86,Dining Out
Sale,11/17/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,11/2/2017,STARBUCKS STORE 17738,-2.89,Dining Out
Sale,11/26/2017,CLINTON WINE &amp; SPIRITS,-33.11,Dining Out
Sale,11/6/2017,STARBUCKS STORE 07392,-4.54,Dining Out
Sale,11/7/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,2/1/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,2/1/2017,RABARCLAYS130111165156,-6.14,Dining Out
Sale,2/1/2017,RABARCLAYS130111165156,-3.81,Dining Out
Sale,2/10/2017,RABARCLAYS130111165156,-4.01,Dining Out
Sale,2/10/2017,RABARCLAYS130111165156,-3.65,Dining Out
Sale,2/15/2017,RABARCLAYS130111165156,-7.76,Dining Out
Sale,2/17/2017,RABARCLAYS130111165156,-3.81,Dining Out
Sale,2/17/2017,RABARCLAYS130111165156,-3.93,Dining Out
Sale,2/2/2017,RABARCLAYS130111165156,-5.66,Dining Out
Sale,2/2/2017,RABARCLAYS130111165156,-6.31,Dining Out
Sale,2/22/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,2/23/2017,RABARCLAYS130111165156,-10.07,Dining Out
Sale,2/23/2017,RABARCLAYS130111165156,-1.25,Dining Out
Sale,2/24/2017,RABARCLAYS130111165156,-7.25,Dining Out
Sale,2/24/2017,RABARCLAYS130111165156,-2.34,Dining Out
Sale,2/3/2017,RABARCLAYS130111165156,-7.85,Dining Out
Sale,2/5/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,2/7/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,2/8/2017,RABARCLAYS130111165156,-5.55,Dining Out
Sale,2/8/2017,RABARCLAYS130111165156,-1.25,Dining Out
