Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0850,12/29/2019,12/31/2019,61585 - LIBERTY SCIENCE C,Travel,Sale,-7.00,
0850,12/31/2019,12/31/2019,AMZN Mktp US*9O4V22J23,Merchandise & Inventory,Sale,-590.20,
0850,12/29/2019,12/31/2019,LIBERTY SCIENC11154044,Food & Drink,Sale,-30.94,
0850,12/27/2019,12/29/2019,TARGET        00011551,Merchandise & Inventory,Sale,-28.57,
0850,12/28/2019,12/29/2019,BRIGHT HORIZONS BACKUP,Miscellaneous,Sale,-25.00,
0850,12/29/2019,12/29/2019,BRIGHT HORIZONS BACKUP,Miscellaneous,Sale,-25.00,
0850,12/27/2019,12/29/2019,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-51.65,
0850,12/27/2019,12/29/2019,AFM OF NORTH PLAINFIELD,Food & Drink,Sale,-209.16,
0850,12/26/2019,12/26/2019,AUTOMATIC PAYMENT - THANK,,Payment,3194.89,
0850,12/26/2019,12/26/2019,Amazon Music*BP14H41T3,Merchandise & Inventory,Sale,-4.25,
0850,12/25/2019,12/26/2019,LYONS              067,Travel,Sale,-28.00,
0850,12/24/2019,12/26/2019,EXXONMOBIL    47976279,Gas,Sale,-50.17,
0850,12/25/2019,12/25/2019,BRIGHT HORIZONS BACKUP,Miscellaneous,Sale,-50.00,
0850,12/23/2019,12/24/2019,LYONS              067,Travel,Sale,-14.00,
0850,12/23/2019,12/24/2019,FIRSTENERGY/EZPAYRECUR,Bills & Utilities,Sale,-115.20,
0850,12/21/2019,12/23/2019,SHELL OIL 57546224106,Gas,Sale,-40.19,
0850,12/17/2019,12/18/2019,AMZN Mktp US*2F6IY72W3,Merchandise & Inventory,Sale,-37.31,
0850,12/16/2019,12/17/2019,UNIQLO ECOMMERCE,Merchandise & Inventory,Sale,-104.60,
0850,12/15/2019,12/16/2019,NETFLIX.COM,Bills & Utilities,Sale,-17.05,
0850,12/15/2019,12/16/2019,AMZN Mktp US*OI07Y4UZ3,Merchandise & Inventory,Sale,-42.64,
0850,12/15/2019,12/16/2019,AMZN Mktp US*364IU2EM3,Merchandise & Inventory,Sale,-90.62,
0850,12/13/2019,12/15/2019,AMZN Mktp US*DV2GY9433,Merchandise & Inventory,Sale,-21.69,
0850,12/14/2019,12/15/2019,Amazon.com*376V47PU3,Merchandise & Inventory,Sale,-6.17,
0850,12/14/2019,12/15/2019,AMZN Mktp US*464NX21W3,Merchandise & Inventory,Sale,-11.08,
0850,12/11/2019,12/13/2019,ROYAL QUEEN,Food & Drink,Sale,-68.16,
0850,12/12/2019,12/13/2019,NEW JERSEY E-ZPASS,Travel,Sale,-25.00,
0850,12/12/2019,12/13/2019,Amazon.com*IW31E6VZ3,Merchandise & Inventory,Sale,-88.53,
