Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0850,12/28/2018,12/31/2018,WAL-MART #2582,Merchandise & Inventory,Return,9.96,
0850,12/29/2018,12/30/2018,COMCAST,Bills & Utilities,Sale,-78.23,
0850,12/29/2018,12/30/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-6.37,
0850,12/28/2018,12/30/2018,LMR CLEANOUT &amp; DISPOSAL,Bills & Utilities,Sale,-99.00,
0850,12/28/2018,12/30/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-1.07,
0850,12/28/2018,12/30/2018,HUNTERDON PEDIATRIC ASSOC,Health & Wellness,Sale,-25.00,
0850,12/28/2018,12/30/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-3.18,
0850,12/27/2018,12/28/2018,GOOGLE *Google Play,Entertainment,Sale,-4.25,
0850,12/27/2018,12/28/2018,SHOPRITE CLINTON S1,Food & Drink,Sale,-6.78,
0850,12/27/2018,12/28/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-63.85,
0850,12/27/2018,12/28/2018,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-54.95,
0850,12/26/2018,12/27/2018,Amazon.com*M234T12L1,Merchandise & Inventory,Sale,-255.89,
0850,12/25/2018,12/27/2018,YES ASIAN BISTRO,Food & Drink,Sale,-151.40,
0850,12/26/2018,12/26/2018,AUTOMATIC PAYMENT - THANK,,Payment,5313.46,
0850,12/24/2018,12/26/2018,HANNA ANDERSSON HQ,Merchandise & Inventory,Sale,-117.94,
0850,12/25/2018,12/26/2018,APL* ITUNES.COM/BILL,Merchandise & Inventory,Sale,-2.12,
0850,12/23/2018,12/24/2018,USA*EAT RIGHT VENDING,Food & Drink,Sale,-1.50,
0850,12/23/2018,12/24/2018,BEST BUY MHT  00005447,Merchandise & Inventory,Return,266.55,
0850,12/23/2018,12/23/2018,AMZNFreeTime*M24FY5GY2,Merchandise & Inventory,Sale,-10.65,
0850,12/22/2018,12/23/2018,GOOGLE *Google Play,Entertainment,Sale,-4.25,
0850,12/20/2018,12/21/2018,HUNTERDON PEDIATRIC ASSOC,Health & Wellness,Sale,-25.00,
0850,12/20/2018,12/21/2018,HUNTERDON PEDIATRIC ASSOC,Health & Wellness,Sale,-25.00,
0850,12/20/2018,12/21/2018,WAL-MART #2582,Merchandise & Inventory,Sale,-18.06,
0850,12/19/2018,12/20/2018,Amazon.com*M23P69MN0,Merchandise & Inventory,Sale,-87.42,
0850,12/17/2018,12/19/2018,HOMEDEPOT.COM,Repair & Maintenance,Sale,-137.55,
0850,12/17/2018,12/18/2018,TJ MAXX #870,Merchandise & Inventory,Sale,-12.99,
0850,12/17/2018,12/18/2018,UNIQLO BRIDGEWATER #39,Merchandise & Inventory,Return,164.50,
0850,12/17/2018,12/18/2018,BEST BUY MHT  00005447,Merchandise & Inventory,Return,319.92,
0850,12/17/2018,12/18/2018,WAWA 8341     00083410,Gas,Sale,-36.23,
0850,12/17/2018,12/18/2018,AMZN Mktp US*M241A9J40,Merchandise & Inventory,Sale,-19.97,
