Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
74,12/30/2020,12/31/2020,PRITI P PATEL MD,Health & Wellness,Sale,-40,
74,12/30/2020,12/31/2020,AMZN Mktp US*UI31U3C33,Merchandise & Inventory,Sale,-21.11,
74,12/29/2020,12/30/2020,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-42.19,
74,12/29/2020,12/30/2020,AMZN Mktp US*Q027E8UF3,Merchandise & Inventory,Sale,-15.4,
74,12/29/2020,12/30/2020,SOMERSET VALLEY URGENT,Health & Wellness,Sale,-60,
74,12/28/2020,12/29/2020,Amazon.com*6U0PN2YF3,Merchandise & Inventory,Sale,-13.09,
74,12/28/2020,12/29/2020,AMZN Mktp US*BD3A092V3,Merchandise & Inventory,Sale,-9.27,
74,12/29/2020,12/29/2020,Amazon.com*EE8UG90X3,Merchandise & Inventory,Sale,-212.18,
74,12/29/2020,12/29/2020,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.49,
74,12/28/2020,12/29/2020,JD-PAY,Bills & Utilities,Sale,-49.78,
74,12/27/2020,12/28/2020,GROCERY WEEE!,Food & Drink,Return,3.99,
74,12/27/2020,12/28/2020,GROCERY WEEE!,Food & Drink,Return,2.99,
74,12/27/2020,12/28/2020,US Mobile,Bills & Utilities,Sale,-9.07,
74,12/25/2020,12/27/2020,Amazon Kids+*B330I6RJ3,Merchandise & Inventory,Sale,-3.19,
74,12/27/2020,12/27/2020,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.71,
74,12/25/2020,12/27/2020,JD-PAY,Bills & Utilities,Sale,-23.73,
74,12/26/2020,12/27/2020,Amazon Music*JJ7RD81U3,Merchandise & Inventory,Sale,-4.25,
74,12/26/2020,12/27/2020,Amazon.com*4E45J1IA3,Merchandise & Inventory,Sale,-10.73,
74,12/25/2020,12/25/2020,AUTOMATIC PAYMENT - THANK,,Payment,1927.76,
74,12/24/2020,12/25/2020,AMZN Mktp US*PL61P1F93,Merchandise & Inventory,Sale,-95.95,
74,12/23/2020,12/25/2020,HIS*HISCOX INC,Bills & Utilities,Sale,-29,
74,12/23/2020,12/24/2020,AMZN Mktp US*9H2R21AI3,Merchandise & Inventory,Sale,-7.6,
74,12/23/2020,12/24/2020,AMZN Mktp US*0D6DR7IF3,Merchandise & Inventory,Sale,-51.95,
74,12/23/2020,12/24/2020,NJ ANNUAL REPORT SERVICES,Bills & Utilities,Sale,-78,
74,12/23/2020,12/24/2020,AMZN Mktp US*AH2NW94J3,Merchandise & Inventory,Sale,-31.98,
74,12/23/2020,12/24/2020,AMZN Mktp US*FI26M16B3,Merchandise & Inventory,Sale,-14.92,
74,12/22/2020,12/23/2020,NYTimes*NYTimes disc,Bills & Utilities,Sale,-4,
74,12/21/2020,12/23/2020,FIRSTENERGY/EZPAYRECUR,Bills & Utilities,Sale,-98.68,
74,12/21/2020,12/23/2020,THE HOME DEPOT 962,Repair & Maintenance,Sale,-55.96,
74,12/21/2020,12/22/2020,AMZN Mktp US*8424S0T03,Merchandise & Inventory,Sale,-11.99,
74,12/21/2020,12/22/2020,AMZN Mktp US*NT0GO08D3,Merchandise & Inventory,Sale,-31.98,
74,12/21/2020,12/22/2020,TARGET        00012245,Merchandise & Inventory,Sale,-88.85,
74,12/21/2020,12/22/2020,WAWA 8341     00083410,Gas,Sale,-28.49,
74,12/20/2020,12/21/2020,GROCERY WEEE!,Food & Drink,Sale,-71.87,
74,12/20/2020,12/21/2020,WOOT INC.,Merchandise & Inventory,Sale,-90.62,
74,12/18/2020,12/20/2020,AMZN Mktp US*GS3PJ0E13,Merchandise & Inventory,Sale,-5.49,
74,12/18/2020,12/20/2020,AMZN Mktp US*YB6I86FY3,Merchandise & Inventory,Sale,-11.02,
74,12/20/2020,12/20/2020,Microsoft*Store,Bills & Utilities,Sale,-1.06,
74,12/18/2020,12/20/2020,Amazon.com*BX8S83GP3,Merchandise & Inventory,Sale,-10.73,
74,12/18/2020,12/20/2020,AMZN Mktp US*CA5T20Y43,Merchandise & Inventory,Sale,-15.86,
74,12/17/2020,12/18/2020,MACYS   .COM,Merchandise & Inventory,Sale,-24.99,
74,12/17/2020,12/18/2020,AMZN Mktp US*SE6OY2NX3,Merchandise & Inventory,Sale,-25.02,
74,12/14/2020,12/16/2020,EXXONMOBIL    47524814,Gas,Sale,-42.83,
74,12/14/2020,12/15/2020,WALGREENS #19955,Health & Wellness,Sale,-15.98,
74,12/15/2020,12/15/2020,GRFRESHMARKET.COM,Food & Drink,Return,21.97,
74,12/14/2020,12/15/2020,Amazon.com*V88V18EO3,Merchandise & Inventory,Sale,-12.78,
74,12/14/2020,12/15/2020,THE WINE RACK,Food & Drink,Sale,-16.51,
74,12/14/2020,12/14/2020,PANERA BREAD #601500 O,Food & Drink,Sale,-15.22,
74,12/10/2020,12/13/2020,Amazon.com*N96GB3XR3,Merchandise & Inventory,Sale,-20.25,
74,12/11/2020,12/13/2020,Amazon Prime*C261E7E43,Bills & Utilities,Sale,-13.85,
74,12/10/2020,12/13/2020,AMZN Mktp US*LU0203I33,Merchandise & Inventory,Sale,-117.28,
74,12/12/2020,12/13/2020,MCDONALD'S F23375,Food & Drink,Sale,-10,
74,12/12/2020,12/13/2020,Amazon.com*S73HB7Q43,Merchandise & Inventory,Sale,-10.73,
74,12/10/2020,12/11/2020,AMZN Mktp US*ER1F133A3,Merchandise & Inventory,Sale,-28.3,
74,12/10/2020,12/11/2020,WALGREENS #19955,Health & Wellness,Sale,-5.32,
74,12/09/2020,12/11/2020,RWJ SOMERSET HOSPITAL,Health & Wellness,Sale,-150,
74,12/10/2020,12/11/2020,WALGREENS #19955,Health & Wellness,Sale,-2,
74,12/10/2020,12/11/2020,WALGREENS #19955,Health & Wellness,Sale,-15,
74,12/09/2020,12/10/2020,AMZN Mktp US*0V4115C43,Merchandise & Inventory,Sale,-13.85,
74,12/09/2020,12/10/2020,MCDONALD'S F32514,Food & Drink,Sale,-21.38,
74,12/09/2020,12/10/2020,AMZN Mktp US*FR3NB0Y53,Merchandise & Inventory,Sale,-14.91,
74,12/09/2020,12/09/2020,GRFRESHMARKET.COM,Food & Drink,Sale,-72.4,
74,12/08/2020,12/09/2020,AMZN Mktp US*8G4Z702M3,Merchandise & Inventory,Sale,-92.75,
74,12/07/2020,12/08/2020,AMZN Mktp US*VY9647EI3,Merchandise & Inventory,Sale,-9.99,
74,12/07/2020,12/08/2020,US Mobile,Bills & Utilities,Sale,-7.57,
74,12/07/2020,12/08/2020,RUSSO BROS &amp,Repair & Maintenance,Sale,-485.14,
74,12/07/2020,12/08/2020,GAP ONLINE,Merchandise & Inventory,Sale,-41.78,
74,12/07/2020,12/07/2020,OPTIMUM 7875,Bills & Utilities,Sale,-70.4,
74,12/06/2020,12/07/2020,MACYS   .COM,Merchandise & Inventory,Sale,-67.97,
74,12/06/2020,12/07/2020,Amazon.com*BL3JX4L63,Merchandise & Inventory,Sale,-10.73,
74,12/04/2020,12/06/2020,ACI*NJM INSURANCE,Bills & Utilities,Sale,-165,
74,12/05/2020,12/06/2020,CRICKET WIRELESS,Bills & Utilities,Sale,-100,
74,12/04/2020,12/06/2020,GAP ONLINE,Merchandise & Inventory,Sale,-63.43,
74,12/05/2020,12/06/2020,AMZN Mktp US*2Y3Z297S3,Merchandise & Inventory,Sale,-16.32,
74,12/05/2020,12/06/2020,MCDONALD'S F23375,Food & Drink,Sale,-5,
74,12/03/2020,12/04/2020,AMZN Mktp US*XK6368WZ3,Merchandise & Inventory,Sale,-42.63,
74,12/03/2020,12/04/2020,CCM*SEARS WARRANTY,Bills & Utilities,Sale,-53.3,
74,12/03/2020,12/04/2020,EXXON NJ CAFE,Food & Drink,Sale,-7.2,
74,12/03/2020,12/04/2020,Amazon web services,Office & Shipping,Sale,-0.8,
74,12/03/2020,12/04/2020,D J*WALL-ST-JOURNAL,Bills & Utilities,Sale,-9.99,
74,12/02/2020,12/03/2020,ITALKBB,Bills & Utilities,Sale,-10.83,
74,12/01/2020,12/02/2020,AMZN Mktp US*DZ4JB3Q43,Merchandise & Inventory,Sale,-26.1,
74,12/01/2020,12/02/2020,DIGITALOCEAN.COM,Office & Shipping,Sale,-6,
74,11/30/2020,12/01/2020,RCN*CABLE PHONE INTERN,Bills & Utilities,Sale,-43.35,
74,11/29/2020,12/01/2020,WINRED* TRUMP MAKE AME,Gifts & Donations,Sale,-42,
74,11/30/2020,11/30/2020,US Mobile,Bills & Utilities,Sale,-9.07,
74,11/28/2020,11/30/2020,TURTLE BACK ZOO,Entertainment,Sale,-4,
74,11/28/2020,11/29/2020,MACYS   .COM,Merchandise & Inventory,Sale,-74.63,
74,11/27/2020,11/29/2020,GAP ONLINE,Merchandise & Inventory,Sale,-15.29,
74,11/27/2020,11/29/2020,AMZN Mktp US*YZ7BR2LR3,Merchandise & Inventory,Sale,-13.99,
74,11/27/2020,11/29/2020,GAP ONLINE,Merchandise & Inventory,Sale,-7.19,
74,11/29/2020,11/29/2020,Amazon.com*Z87320L93,Merchandise & Inventory,Sale,-10.65,
74,11/27/2020,11/29/2020,GAP ONLINE,Merchandise & Inventory,Sale,-13.47,
74,11/27/2020,11/29/2020,BLOOMINGDALES  .COM,Merchandise & Inventory,Sale,-67.97,
74,11/26/2020,11/27/2020,NYTimes*NYTimes disc,Bills & Utilities,Sale,-4,
74,11/26/2020,11/27/2020,Express Scripts Phrmcy,Health & Wellness,Sale,-22.68,
74,11/26/2020,11/26/2020,AUTOMATIC PAYMENT - THANK,,Payment,2193.5,
